product_id,record_id,settlement,source_file_token,task_id,source_path,generated_path,final_path,upload_status,uploaded_file_token,uploaded_at,run_root
JH001,recvjiq8ngNygL,设计款（2.5倍率）,BA2Zb9g4ooTwgxxbMgxcTldyndp,jewelry-white-bg-JH001-20260612104519,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\source\JH001_front.jpg,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\generated\JH001_generated.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\white-bg\JH001_white_bg_watermarked.png,uploaded,GXOPboWERoOkzNxQflqcziQ9n2e,2026-06-12T11:01:45,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005
JH002,recvjiq8SU9qcL,设计款（2.5倍率）,AVpbbfE5IoadfVxXx6acz7YZnoh,jewelry-white-bg-JH002-20260612104843,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\source\JH002_front.jpg,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\generated\JH002_generated.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\white-bg\JH002_white_bg_watermarked.png,uploaded,Qkh9bjOCDovaGoxQnjKcdlPNnve,2026-06-12T11:01:49,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005
JH003,recvkUy6MJrp04,设计款（2.5倍率）,ODIubCA72oNsdmxchi2caNTcnQh,jewelry-white-bg-JH003-20260612105139,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\source\JH003_front.jpg,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\generated\JH003_generated.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\white-bg\JH003_white_bg_watermarked.png,uploaded,RE0lb4nydo3tryxeSypcxZrCnkh,2026-06-12T11:01:52,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005
JH004,recvkZ0aFsUQPy,设计款（2.5倍率）,ImdEbEmJIohDoMxNQ2ZcmwMgnff,jewelry-white-bg-JH004-20260612105436,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\source\JH004_front.jpg,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\generated\JH004_generated.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\white-bg\JH004_white_bg_watermarked.png,uploaded,GK4JbEhWlobhfwxaWNWcQVnTn2f,2026-06-12T11:01:56,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005
JH005,recvkZ0cJZe71Y,设计款（2.5倍率）,XtaAbvKc3ouqw9x6n8Ac01CxnGf,jewelry-white-bg-JH005-20260612105704,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\source\JH005_front.jpg,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\generated\JH005_generated.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005\white-bg\JH005_white_bg_watermarked.png,uploaded,LlK4bF3Q3owkDcxQUTGcTbLgnrf,2026-06-12T11:01:59,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-test5-20260612-104005
JH011,recvlfVHXV20By,设计款（2.5倍率）,V8VTbOFvPolSQhxlyhXcV8WknQb,jewelry-white-bg-JH011-20260612121511,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\source\JH011_front.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH011_generated.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH011_white_bg_watermarked.png,uploaded,Hjxzbyf3boKMpVxg8xEcaVUEn2f,2026-06-12T12:21:56,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909
JH006,recvkZOat43lmn,设计款（2.5倍率）,PyC7bLNYPozAewxrc49caLwAnOh,jewelry-white-bg-JH006-20260612121455,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\source\JH006_front.jpg,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH006_generated.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH006_white_bg_watermarked.png,uploaded,BD8Gb3es1odj7Gx85B1ccm2jnff,2026-06-12T12:21:59,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909
JH007,recvkZOf5QAPsk,设计款（2.5倍率）,BxfhbVK8moVviex4TzwcbOyGnEd,jewelry-white-bg-JH007-20260612121500,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\source\JH007_front.jpg,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH007_generated.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH007_white_bg_watermarked.png,uploaded,BEyKbt9Gao0o6wxQcHOc3uIZnbc,2026-06-12T12:22:02,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909
JH010,recvl0aDHGNmAs,设计款（2.5倍率）,JOT4bSfXzoXSVKxzOtBcfjmdnMJ,jewelry-white-bg-JH010-20260612121506,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\source\JH010_front.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH010_generated.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH010_white_bg_watermarked.png,uploaded,VT9MbCuO5oHjL1xy2WDcUmsgnMg,2026-06-12T12:22:04,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909
JH012,recvlfVKboqRY9,设计款（2.5倍率）,Q7lVbMS86ofi6wxUQSRc9pjPnab,jewelry-white-bg-JH012-20260612121520,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\source\JH012_front.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\generated\JH012_generated.png,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909\white-bg\JH012_white_bg_watermarked.png,uploaded,O872bOxTKoWStFxJMhZcmbm6nug,2026-06-12T12:22:07,C:\Users\Administrator\Documents\珠宝白底图生成\outputs\jewelry-white-background\20260618-618-full-20260612-120909
